t,x(t)
0,0
0.002,0.00226153
0.004,0.00452357
0.006,0.00678612
0.008,0.00904918
0.01,0.0113127
0.012,0.0135768
0.014,0.0158413
0.016,0.0181063
0.018,0.0203717
0.02,0.0226376
0.022,0.024904
0.024,0.0271708
0.026,0.0294381
0.028,0.0317058
0.03,0.0339739
0.032,0.0362424
0.034,0.0385113
0.036,0.0407807
0.038,0.0430504
0.04,0.0453205
0.042,0.047591
0.044,0.0498619
0.046,0.0521331
0.048,0.0544047
0.05,0.0566767
0.052,0.058949
0.054,0.0612216
0.056,0.0634946
0.058,0.0657679
0.06,0.0680415
0.062,0.0703154
0.064,0.0725896
0.066,0.0748641
0.068,0.0771389
0.07,0.079414
0.072,0.0816893
0.074,0.0839649
0.076,0.0862408
0.078,0.0885169
0.08,0.0907932
0.082,0.0930698
0.084,0.0953466
0.086,0.0976237
0.088,0.0999009
0.09,0.102178
0.092,0.104456
0.094,0.106734
0.096,0.109012
0.098,0.11129
0.1,0.113568
0.102,0.115847
0.104,0.118126
0.106,0.120404
0.108,0.122683
0.11,0.124962
0.112,0.127242
0.114,0.129521
0.116,0.1318
0.118,0.13408
0.12,0.136359
0.122,0.138639
0.124,0.140919
0.126,0.143199
0.128,0.145479
0.13,0.147759
0.132,0.150039
0.134,0.152319
0.136,0.154599
0.138,0.156879
0.14,0.159159
0.142,0.161439
0.144,0.163719
0.146,0.165999
0.148,0.168279
0.15,0.170559
0.152,0.172839
0.154,0.175119
0.156,0.177399
0.158,0.179679
0.16,0.181958
0.162,0.184238
0.164,0.186517
0.166,0.188797
0.168,0.191076
0.17,0.193356
0.172,0.195635
0.174,0.197914
0.176,0.200193
0.178,0.202471
0.18,0.20475
0.182,0.207029
0.184,0.209307
0.186,0.211585
0.188,0.213863
0.19,0.216141
0.192,0.218418
0.194,0.220695
0.196,0.222972
0.198,0.225249
0.2,0.227526
0.202,0.229802
0.204,0.232079
0.206,0.234354
0.208,0.23663
0.21,0.238905
0.212,0.24118
0.214,0.243455
0.216,0.24573
0.218,0.248004
0.22,0.250278
0.222,0.252551
0.224,0.254824
0.226,0.257097
0.228,0.25937
0.23,0.261642
0.232,0.263913
0.234,0.266185
0.236,0.268456
0.238,0.270726
0.24,0.272997
0.242,0.275266
0.244,0.277536
0.246,0.279804
0.248,0.282073
0.25,0.284341
0.252,0.286608
0.254,0.288875
0.256,0.291142
0.258,0.293408
0.26,0.295674
0.262,0.297939
0.264,0.300203
0.266,0.302468
0.268,0.304731
0.27,0.306994
0.272,0.309256
0.274,0.311518
0.276,0.31378
0.278,0.31604
0.28,0.3183
0.282,0.32056
0.284,0.322819
0.286,0.325077
0.288,0.327335
0.29,0.329592
0.292,0.331848
0.294,0.334104
0.296,0.336359
0.298,0.338614
0.3,0.340867
0.302,0.343121
0.304,0.345373
0.306,0.347625
0.308,0.349875
0.31,0.352126
0.312,0.354375
0.314,0.356624
0.316,0.358872
0.318,0.361119
0.32,0.363365
