t,x(t)
0,0
0.02,0.0226378
0.04,0.0453209
0.06,0.068042
0.08,0.090794
0.1,0.113569
0.12,0.136361
0.14,0.15916
0.16,0.18196
0.18,0.204752
0.2,0.227528
0.22,0.250279
0.24,0.272998
0.26,0.295676
0.28,0.318302
0.3,0.340869
0.32,0.363367
0.34,0.385787
0.36,0.408117
0.38,0.430349
0.4,0.452472
0.42,0.474474
0.44,0.496346
0.46,0.518076
0.48,0.539653
0.5,0.561064
0.52,0.582297
0.54,0.60334
0.56,0.62418
0.58,0.644804
0.6,0.665197
0.62,0.685347
0.64,0.705238
0.66,0.724856
0.68,0.744186
0.7,0.763211
0.72,0.781917
0.74,0.800285
0.76,0.8183
0.78,0.835943
0.8,0.853197
0.82,0.870043
0.84,0.886462
0.86,0.902435
0.88,0.917941
0.9,0.932961
0.92,0.947473
0.94,0.961455
0.96,0.974886
0.98,0.987742
1,1
