t,x(t)
0.1595,0.181388
0.16,0.181958
0.1605,0.182528
0.161,0.183098
0.1615,0.183668
0.162,0.184238
0.1625,0.184808
0.163,0.185378
0.1635,0.185948
0.164,0.186517
0.1645,0.187087
0.165,0.187657
0.1655,0.188227
0.166,0.188797
0.1665,0.189367
0.167,0.189937
0.1675,0.190507
0.168,0.191076
0.1685,0.191646
0.169,0.192216
0.1695,0.192786
0.17,0.193356
0.1705,0.193925
0.171,0.194495
0.1715,0.195065
0.172,0.195635
0.1725,0.196205
0.173,0.196774
0.1735,0.197344
0.174,0.197914
0.1745,0.198484
0.175,0.199053
0.1755,0.199623
0.176,0.200193
0.1765,0.200762
0.177,0.201332
0.1775,0.201902
0.178,0.202471
0.1785,0.203041
0.179,0.203611
0.1795,0.20418
0.18,0.20475
0.1805,0.20532
0.181,0.205889
0.1815,0.206459
0.182,0.207029
0.1825,0.207598
0.183,0.208168
0.1835,0.208737
0.184,0.209307
0.1845,0.209876
0.185,0.210446
0.1855,0.211015
0.186,0.211585
0.1865,0.212154
0.187,0.212724
0.1875,0.213293
0.188,0.213863
0.1885,0.214432
0.189,0.215002
0.1895,0.215571
0.19,0.216141
0.1905,0.21671
0.191,0.217279
0.1915,0.217849
0.192,0.218418
0.1925,0.218987
0.193,0.219557
0.1935,0.220126
0.194,0.220695
0.1945,0.221265
0.195,0.221834
0.1955,0.222403
0.196,0.222972
0.1965,0.223542
0.197,0.224111
0.1975,0.22468
0.198,0.225249
0.1985,0.225819
0.199,0.226388
0.1995,0.226957
0.2,0.227526
0.2005,0.228095
0.201,0.228664
0.2015,0.229233
0.202,0.229802
0.2025,0.230371
0.203,0.230941
0.2035,0.23151
0.204,0.232079
0.2045,0.232648
0.205,0.233217
0.2055,0.233785
0.206,0.234354
0.2065,0.234923
0.207,0.235492
0.2075,0.236061
0.208,0.23663
0.2085,0.237199
0.209,0.237768
0.2095,0.238337
0.21,0.238905
0.2105,0.239474
0.211,0.240043
0.2115,0.240612
0.212,0.24118
0.2125,0.241749
0.213,0.242318
0.2135,0.242887
0.214,0.243455
0.2145,0.244024
0.215,0.244592
0.2155,0.245161
0.216,0.24573
0.2165,0.246298
0.217,0.246867
0.2175,0.247435
0.218,0.248004
0.2185,0.248572
0.219,0.249141
0.2195,0.249709
0.22,0.250278
0.2205,0.250846
0.221,0.251414
0.2215,0.251983
0.222,0.252551
0.2225,0.253119
0.223,0.253688
0.2235,0.254256
0.224,0.254824
0.2245,0.255393
0.225,0.255961
0.2255,0.256529
0.226,0.257097
0.2265,0.257665
0.227,0.258233
0.2275,0.258802
0.228,0.25937
0.2285,0.259938
0.229,0.260506
0.2295,0.261074
0.23,0.261642
0.2305,0.26221
0.231,0.262778
0.2315,0.263346
0.232,0.263913
0.2325,0.264481
0.233,0.265049
0.2335,0.265617
0.234,0.266185
0.2345,0.266753
0.235,0.26732
0.2355,0.267888
0.236,0.268456
0.2365,0.269023
0.237,0.269591
0.2375,0.270159
0.238,0.270726
0.2385,0.271294
0.239,0.271861
0.2395,0.272429
0.24,0.272997
0.2405,0.273564
0.241,0.274131
0.2415,0.274699
0.242,0.275266
0.2425,0.275834
0.243,0.276401
0.2435,0.276968
0.244,0.277536
0.2445,0.278103
0.245,0.27867
0.2455,0.279237
0.246,0.279804
0.2465,0.280372
0.247,0.280939
0.2475,0.281506
0.248,0.282073
0.2485,0.28264
0.249,0.283207
0.2495,0.283774
0.25,0.284341
0.2505,0.284908
0.251,0.285475
0.2515,0.286042
0.252,0.286608
0.2525,0.287175
0.253,0.287742
0.2535,0.288309
0.254,0.288875
0.2545,0.289442
0.255,0.290009
0.2555,0.290575
0.256,0.291142
0.2565,0.291709
0.257,0.292275
0.2575,0.292842
0.258,0.293408
0.2585,0.293975
0.259,0.294541
0.2595,0.295107
0.26,0.295674
0.2605,0.29624
0.261,0.296806
0.2615,0.297373
0.262,0.297939
0.2625,0.298505
0.263,0.299071
0.2635,0.299637
0.264,0.300203
0.2645,0.30077
0.265,0.301336
0.2655,0.301902
0.266,0.302467
0.2665,0.303033
0.267,0.303599
0.2675,0.304165
0.268,0.304731
0.2685,0.305297
0.269,0.305863
0.2695,0.306428
0.27,0.306994
0.2705,0.30756
0.271,0.308125
0.2715,0.308691
0.272,0.309256
0.2725,0.309822
0.273,0.310387
0.2735,0.310953
0.274,0.311518
0.2745,0.312084
0.275,0.312649
0.2755,0.313214
0.276,0.31378
0.2765,0.314345
0.277,0.31491
0.2775,0.315475
0.278,0.31604
0.2785,0.316605
0.279,0.31717
0.2795,0.317735
0.28,0.3183
0.2805,0.318865
0.281,0.31943
0.2815,0.319995
0.282,0.32056
0.2825,0.321125
0.283,0.32169
0.2835,0.322254
0.284,0.322819
0.2845,0.323384
0.285,0.323948
0.2855,0.324513
0.286,0.325077
0.2865,0.325642
0.287,0.326206
0.2875,0.326771
0.288,0.327335
0.2885,0.327899
0.289,0.328464
0.2895,0.329028
0.29,0.329592
0.2905,0.330156
0.291,0.33072
0.2915,0.331284
0.292,0.331848
0.2925,0.332412
0.293,0.332976
0.2935,0.33354
0.294,0.334104
0.2945,0.334668
0.295,0.335232
0.2955,0.335796
0.296,0.336359
0.2965,0.336923
0.297,0.337487
0.2975,0.33805
0.298,0.338614
0.2985,0.339177
0.299,0.339741
0.2995,0.340304
0.3,0.340867
0.3005,0.341431
0.301,0.341994
0.3015,0.342557
0.302,0.343121
0.3025,0.343684
0.303,0.344247
0.3035,0.34481
0.304,0.345373
0.3045,0.345936
0.305,0.346499
0.3055,0.347062
0.306,0.347625
0.3065,0.348187
0.307,0.34875
0.3075,0.349313
0.308,0.349875
0.3085,0.350438
0.309,0.351001
0.3095,0.351563
0.31,0.352126
0.3105,0.352688
0.311,0.35325
0.3115,0.353813
0.312,0.354375
0.3125,0.354937
0.313,0.3555
0.3135,0.356062
0.314,0.356624
0.3145,0.357186
0.315,0.357748
0.3155,0.35831
0.316,0.358872
0.3165,0.359434
0.317,0.359995
0.3175,0.360557
0.318,0.361119
0.3185,0.361681
0.319,0.362242
0.3195,0.362804
0.32,0.363365
0.3205,0.363927
0.321,0.364488
0.3215,0.36505
0.322,0.365611
0.3225,0.366172
0.323,0.366733
0.3235,0.367295
0.324,0.367856
0.3245,0.368417
0.325,0.368978
0.3255,0.369539
0.326,0.3701
0.3265,0.370661
0.327,0.371222
0.3275,0.371782
0.328,0.372343
0.3285,0.372904
0.329,0.373464
0.3295,0.374025
0.33,0.374585
0.3305,0.375146
0.331,0.375706
0.3315,0.376267
0.332,0.376827
0.3325,0.377387
0.333,0.377947
0.3335,0.378507
0.334,0.379068
0.3345,0.379628
0.335,0.380188
0.3355,0.380748
0.336,0.381307
0.3365,0.381867
0.337,0.382427
0.3375,0.382987
0.338,0.383546
0.3385,0.384106
0.339,0.384666
0.3395,0.385225
0.34,0.385784
0.3405,0.386344
0.341,0.386903
0.3415,0.387462
0.342,0.388022
0.3425,0.388581
0.343,0.38914
0.3435,0.389699
0.344,0.390258
0.3445,0.390817
0.345,0.391376
0.3455,0.391935
0.346,0.392493
0.3465,0.393052
0.347,0.393611
0.3475,0.394169
0.348,0.394728
0.3485,0.395286
0.349,0.395845
0.3495,0.396403
0.35,0.396961
0.3505,0.39752
0.351,0.398078
0.3515,0.398636
0.352,0.399194
0.3525,0.399752
0.353,0.40031
0.3535,0.400868
0.354,0.401426
0.3545,0.401983
0.355,0.402541
0.3555,0.403099
0.356,0.403656
0.3565,0.404214
0.357,0.404771
0.3575,0.405329
0.358,0.405886
0.3585,0.406443
0.359,0.407001
0.3595,0.407558
0.36,0.408115
0.3605,0.408672
0.361,0.409229
0.3615,0.409786
0.362,0.410343
0.3625,0.4109
0.363,0.411456
0.3635,0.412013
0.364,0.41257
0.3645,0.413126
0.365,0.413683
0.3655,0.414239
